,description,unit,variable_type,axis,initialised_by,required_init_by,updated_by,required_update_by
plant_net_co2_assimilation,Plant net CO2 assimilation,ppm,,[],None,[],[],[]
ppfd,Top of canopy photosynthetic photon flux density,mol m-2,,[],None,[],[],[]
precipitation,Precipitation,mm,,[],None,['hydrology'],[],[]
precipitation_surface,Precipitation that reaches surface,mm,,[],None,[],['hydrology'],[]
relative_humidity,Relative humidity profile,%,,[],None,[],['abiotic_simple'],[]
relative_humidity_ref,Relative humidity at reference height (2m),%,,[],None,"['abiotic', 'abiotic_simple', 'hydrology']",[],[]
river_discharge,River discharge,m3 s-1,,[],None,[],[],[]
river_discharge_rate,River discharge rate,,,[],None,[],['hydrology'],[]
roughness_length_momentum,Roughness length for momentum,m,,[],None,[],[],[]
sensible_heat_flux,Sensible heat flux from canopy and surface,J m-2,,[],None,[],[],[]
sensible_heat_flux_canopy,Sensible heat flux from canopy,J m-2,,[],None,[],[],[]
sensible_heat_flux_soil,Sensible heat flux from surface layer,J m-2,,[],None,[],[],[]
shortwave_in,Downward shortwave radiation,J m-2,,[],None,[],[],[]
soil_c_pool_lmwc,Size of low molecular weight carbon pool,kg C m-3,,[],None,['soil'],['soil'],[]
soil_c_pool_maom,Size of mineral associated organic matter pool,kg C m-3,,[],None,['soil'],['soil'],[]
soil_c_pool_microbe,Size of microbial biomass pool,kg C m-3,,[],None,['soil'],['soil'],[]
soil_c_pool_pom,Size of microbial biomass pool,kg C m-3,,[],None,['soil'],['soil'],[]
soil_enzyme_maom,soil_enzyme_maom,,,[],None,[],['soil'],[]
soil_enzyme_pom,soil_enzyme_pom,,,[],None,[],['soil'],[]
soil_evaporation,Soil evaporation,mm,,[],None,[],['hydrology'],[]
soil_moisture,Soil moisture as volumetric relative water content,-,,[],None,[],['hydrology'],[]
soil_respiration,Soil respiration,ppm,,[],None,[],[],[]
soil_temperature,Soil temperature profile,C,,[],None,[],"['abiotic', 'abiotic_simple']",[]
specific_heat_air,Specific heat of air,kJ kg-1,,[],None,[],[],[]
specific_humidity,Specific humidity of air,g kg-1,,[],None,[],[],[]
stream_flow,Estimated stream flow,mm per time step,,[],None,[],[],[]
subsurface_flow,Surface flow,,,[],None,[],['hydrology'],[]
subsurface_flow_accumulated,Accumulated subsurface flow,,,[],None,[],['hydrology'],[]
subsurface_runoff,Subsurface runoff,mm,,[],None,[],[],[]
sunshine_fraction,"Fraction of sunshine hours, between 0 and 1",-,,[],None,[],[],[]
surface_runoff,Surface runoff generated in each grid cell,mm,,[],None,[],['hydrology'],[]
surface_runoff_accumulated,Accumlated surface runoff,mm,,[],None,[],['hydrology'],[]
surface_water,Searchable surface water,%,,[],None,[],[],[]
topofcanopy_radiation,Top of canopy downward shortwave radiation,J m-2,,[],None,[],[],[]
total_river_discharge,Total river discharge,,,[],None,[],['hydrology'],[]
vapour_pressure,Vapour pressure,,,[],None,[],['abiotic'],[]
vapour_pressure_deficit,Vapour pressure deficit,,,[],None,[],"['abiotic', 'abiotic_simple']",[]
vertical_flow,Vertical flow of water through soil column,mm per time step,,[],None,[],['hydrology'],[]
wind_above_canopy,Wind above canopy,m s-1,,[],None,[],[],[]
wind_below_canopy,Wind profile within and below canopy,m s-1,,[],None,[],[],[]
wind_speed_ref,Wind speed at reference height (10m),m s-1,,[],None,['hydrology'],[],[]
